微博id,微博正文,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IA6bExEbc,"98""大电视，同行定价从10万到53万。Redmi智能电视，约1.99万，性价比无敌吧？！  原图 ",http://wx3.sinaimg.cn/large/68418ffbly1gd536y79zhj21900u0tej.jpg,无,无,2020-03-24 16:16,小米10 Pro,8929,193,1226
IA5YGvtux,"令人震惊的产品：98吋大电视Redmi智能电视98""，19999元！Redmi智能电视98""，19999元！Redmi智能电视98""，19999元！  原图 ",http://wx1.sinaimg.cn/large/68418ffbly1gd4ydqeu1dj21400u0gpr.jpg,无,无,2020-03-24 15:44,小米10 Pro,5490,221,1061
IA5W4ylCw,大屏的小爱触屏音箱，8英寸，349元。桌面的“小电视”，孩子们的学习机。@小爱音箱  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gd4yesu1s7j21400u0go8.jpg,无,无,2020-03-24 15:37,小米10 Pro,2859,50,337
IA5UyDbBX,"K30 Pro, 5G旗舰机，2999元起！Redmi, 性价比之王！#K30 Pro#  原图 ",http://wx4.sinaimg.cn/large/68418ffbly1gd51z5wo88j20p30dwk32.jpg,无,无,2020-03-24 15:34,小米10 Pro,14367,285,1946
IA5Pe07LW,#K30 Pro# 有红外遥控，有耳机孔，大家满意吧？  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gd51m2r4bzj20u0140n01.jpg,无,无,2020-03-24 15:21,小米10 Pro,5574,86,993
IA5EnFU5l,#K30 Pro# 长焦微距下的口罩！  原图 ,http://wx4.sinaimg.cn/large/68418ffbly1gd50uee338j20u0140qbo.jpg,无,无,2020-03-24 14:54,小米10 Pro,3482,114,593
IA5DMuy6D,#K30 Pro# 长焦微距。大家猜猜这是什么？  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gd50sn2se2j20u0140wo0.jpg,无,无,2020-03-24 14:52,小米10 Pro,1936,31,357
IA5D7p27P,#K30 Pro# 长焦微距，太牛了！  原图 ,http://wx3.sinaimg.cn/large/68418ffbly1gd4yg3sk6dj21400u07ac.jpg,无,无,2020-03-24 14:51,小米10 Pro,2321,82,424
IA5pToZt5,"5G旗舰机，大电池是续航的基础！#K30 Pro# 4700mAh, OK 不 OK？  原图 ",http://wx4.sinaimg.cn/large/68418ffbly1gd4yglwgn7j21400u0dhe.jpg,无,无,2020-03-24 14:18,小米10 Pro,3721,72,738
IA5o9iJUz,#K30 Pro# 挺漂亮的吧？  原图 ,http://wx2.sinaimg.cn/large/68418ffbly1gd4yhs6klnj21400u0dmn.jpg,无,无,2020-03-24 14:14,小米10 Pro,3184,79,853
IA5mNleWT,#K30 Pro# 极致全面屏，喜欢的来点赞！  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gd4yi1u13ej21400u044o.jpg,无,无,2020-03-24 14:11,小米10 Pro,3353,65,342
IA4KMvLPt,Redmi品牌代言人王一博录制的发布会预告视频Redmi红米手机的微博视频 #K30 Pro#  ,无,"http://f.video.weibocdn.com/Dberirvilx07BV0fpuBW010412002XlI0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=62b30a3f061b162e421008955c73f536&Expires=1586151439&ssig=E9MgrXcdFu&KID=unistore,video",无,2020-03-24 12:37,小米10 Pro,65375,22614,4097
IA4BR3mv7,今天下午是直播，不是录播，@卢伟冰 压力很大，欢迎亲朋好友一定弹幕支持！ 除了#K30 Pro# ，还有两个新品发布，绝对劲爆。  原图 ,http://wx1.sinaimg.cn/large/68418ffbly1gd4w62rnwyj20u013rwhi.jpg,无,无,2020-03-24 12:15,小米10 Pro,5920,119,941
